11,12,13,21,22,23,31,32,33,41,42,43,time
61,62,61,62,62,62,61,61,61,61,61,61,0.7987520694732666
61,61,60,62,62,62,61,61,61,61,61,61,1.0633914470672607
61,62,61,62,62,62,60,61,61,61,61,61,1.3191430568695068
61,61,61,62,62,62,61,61,61,61,61,61,1.5753083229064941
61,62,61,62,62,62,61,61,61,61,61,61,1.8543086051940918
61,62,61,62,62,62,60,61,61,61,61,61,2.143381357192993
61,62,61,62,62,62,61,61,61,61,61,61,2.43107008934021
61,62,61,62,62,62,61,61,61,61,61,61,2.719109058380127
61,62,61,62,62,62,61,61,61,61,61,61,3.0068554878234863
61,62,61,62,62,62,60,61,61,61,61,61,3.2950291633605957
61,62,61,62,62,62,61,61,61,61,61,61,3.583082437515259
61,62,61,62,62,62,61,61,61,61,61,61,3.8708150386810303
61,62,61,62,62,62,60,61,61,61,61,61,4.158628463745117
61,62,61,62,62,62,60,61,61,61,61,61,4.4229278564453125
61,62,61,62,62,62,61,61,61,61,61,61,4.662803649902344
59,60,59,60,60,60,58,59,59,58,59,59,4.918872117996216
61,62,61,62,61,62,60,61,61,61,61,61,5.158778429031372
61,62,61,62,62,62,60,61,61,61,61,61,5.415172338485718
61,62,61,62,62,62,60,61,61,60,61,61,5.665185928344727
57,58,57,59,59,60,59,59,59,59,59,59,5.951002836227417
61,61,61,62,61,62,60,61,61,61,61,61,6.22313928604126
61,62,61,62,62,62,61,61,61,61,61,61,6.510476350784302
61,62,61,62,62,62,61,61,61,61,61,61,6.782371759414673
59,59,58,60,60,60,59,59,59,59,59,59,7.069927215576172
61,62,61,62,62,62,61,61,61,61,61,61,7.341561317443848
61,62,61,62,62,62,61,61,61,61,61,61,7.630094766616821
61,62,61,62,62,62,61,61,61,61,61,61,7.901801109313965
60,60,60,60,61,61,59,60,60,60,60,60,8.189679384231567
61,61,61,62,61,62,60,61,61,61,61,61,8.462559461593628
61,61,61,62,62,62,60,61,61,61,61,61,8.7269766330719
61,62,61,61,61,62,60,61,61,61,61,61,8.96715521812439
59,59,59,60,60,60,59,59,59,59,59,58,9.246231079101562
61,62,61,62,62,62,61,61,61,61,61,61,9.51754879951477
61,62,61,62,62,62,61,61,61,61,61,61,9.805731534957886
61,62,61,62,62,62,61,61,61,61,61,61,10.07789945602417
60,60,60,60,60,60,59,60,60,60,60,59,10.365628957748413
61,61,61,61,61,62,60,61,61,61,61,60,10.637598276138306
61,61,61,61,61,62,60,61,61,61,61,61,10.926079988479614
61,61,61,61,61,62,60,61,61,61,61,61,11.197228908538818
58,59,58,60,60,60,59,59,59,59,59,59,11.4856116771698
61,62,61,62,62,62,61,61,61,61,61,61,11.757306575775146
61,61,61,62,62,62,60,61,61,61,61,61,12.046203851699829
61,61,61,62,62,62,61,61,61,61,61,61,12.294386386871338
59,60,59,61,60,60,59,59,60,60,60,59,12.55051064491272
61,61,60,61,61,61,60,61,61,61,61,61,12.790627002716064
60,61,61,61,61,62,60,60,61,61,61,60,13.047041654586792
60,61,61,61,61,62,60,61,61,60,61,60,13.287045955657959
59,60,59,60,60,60,59,59,60,60,59,59,13.542496919631958
60,61,61,62,61,62,60,61,61,61,61,61,13.782466411590576
61,61,61,62,61,62,60,61,61,61,61,61,14.038195848464966
61,61,60,61,62,62,60,61,61,61,61,61,14.278407096862793
61,62,61,62,62,62,61,61,61,61,61,61,14.534404039382935
61,62,61,62,62,62,61,61,61,61,61,61,14.774420499801636
61,62,61,62,62,62,61,61,61,61,62,61,15.031035661697388
61,62,61,62,62,62,61,61,61,61,61,61,15.270446538925171
61,62,61,62,62,62,61,61,61,61,61,61,15.526685237884521
61,62,61,62,62,62,61,61,61,61,61,61,15.766297101974487
61,62,61,62,62,62,61,61,61,61,61,61,16.02263593673706
61,62,61,62,62,62,61,61,61,61,61,61,16.262627363204956
61,62,61,62,62,62,61,61,61,61,61,61,16.51842713356018
61,62,61,62,62,62,61,61,62,62,61,61,16.75863003730774
61,62,62,62,62,62,61,61,62,62,62,61,17.014657258987427
61,62,61,62,62,62,61,61,62,62,62,61,17.254796028137207
61,62,61,62,62,62,61,61,61,61,61,61,17.533983945846558
61,62,61,62,62,62,61,61,61,61,61,61,17.80630111694336
61,62,61,62,62,62,61,61,62,61,61,61,18.09369134902954
61,62,61,62,62,62,61,61,61,61,61,61,18.36579656600952
61,62,61,62,62,62,61,61,61,61,62,61,18.653782844543457
62,62,61,62,62,62,61,61,62,62,62,61,18.925723791122437
62,62,61,62,62,62,61,62,62,62,61,61,19.190389394760132
62,62,61,62,62,62,61,61,62,62,62,61,19.430190563201904
61,62,61,62,62,62,61,61,62,62,62,61,19.686119318008423
61,62,61,62,62,62,61,61,61,61,61,61,19.942047595977783
61,62,61,62,62,62,61,61,61,61,61,61,20.22293996810913
61,62,61,62,62,62,61,61,61,61,61,61,20.509623765945435
61,62,61,62,62,62,61,61,61,61,61,61,20.797744035720825
61,62,61,62,62,62,61,61,62,61,61,61,21.08547282218933
61,62,61,62,62,62,61,61,61,61,61,61,21.374175548553467
61,62,61,62,62,62,61,61,61,61,61,61,21.661157846450806
61,62,61,62,62,62,61,61,61,61,61,61,21.949805736541748
61,62,62,62,62,62,61,61,61,61,61,61,22.238516092300415
61,62,61,62,62,62,61,61,61,61,61,61,22.52594780921936
61,62,61,62,62,62,61,61,61,61,61,61,22.81468677520752
61,62,61,62,62,62,61,61,61,61,61,61,23.103352785110474
61,62,61,62,62,62,61,61,61,61,61,61,23.38988709449768
61,62,61,62,62,62,61,61,61,61,61,61,23.677828788757324
